Datetime,Headline
2026-02-03 09:15,HCL Tech wins $500M cloud migration deal from Australian telecom major.
2026-02-03 14:30,Coal India reports sharp 12% drop in Q3 net profit due to lower e-auction realizations.
2026-02-04 10:00,Kotak Mahindra Bank announces aggressive expansion into Tier 2 cities targeting retail loans.
2026-02-04 13:45,JSW Steel acquires distressed mining assets in Odisha to secure iron ore supply chain.
2026-02-05 09:30,Apollo Hospitals reports record Q3 occupancy rates boosting revenue guidance.
2026-02-05 11:20,Eicher Motors Royal Enfield exports hit record high amid strong European demand.
2026-02-06 10:15,ONGC discovers massive new gas reserves in the Krishna Godavari basin.
2026-02-06 14:50,Tech Mahindra Q3 margins shrink amid high attrition and rising subcontractor costs.
2026-02-09 09:20,Britannia Industries raises biscuit prices by 5% to combat severe wheat inflation.
2026-02-09 13:10,IndusInd Bank promoters receive RBI nod to increase stake to 26 percent.
2026-02-10 10:45,Adani Ports acquires major stake in European logistics firm to expand global footprint.
2026-02-10 15:30,Cipla receives final US FDA approval for a key generic asthma inhaler.
2026-02-11 09:15,Hero MotoCorp launches three new electric two-wheelers to combat Ola Electric market share.
2026-02-11 14:00,UltraTech Cement announces Rs 3000 crore capex plan to expand grinding capacity in South India.
2026-02-12 11:15,Tata Power signs PPA with Maharashtra government for a massive 1GW solar project.
2026-02-12 13:45,SBI Cards reports spike in delinquencies causing a massive sell-off in NBFC stocks.
2026-02-13 09:30,Divis Labs Q3 earnings miss street estimates significantly due to pricing pressure in APIs.
2026-02-13 14:20,Wipro signs definitive agreement to acquire US-based cybersecurity consulting firm.
2026-02-16 10:05,Maruti Suzuki production halted at Manesar plant due to unexpected vendor component shortage.
2026-02-16 13:30,ITC hotel demerger officially approved by NCLT setting up listing for next month.
2026-02-17 09:45,Axis Bank reports stellar Q3 NIM expansion leading to widespread analyst upgrades.
2026-02-17 15:15,Hindalco announces massive investment in electric vehicle battery foil manufacturing.
2026-02-18 11:30,Bajaj Auto announces Rs 4000 crore share buyback program at a premium to market price.
2026-02-18 14:40,LTIMindtree faces severe backlash over delayed onboarding of freshers impacting sentiment.
2026-02-19 09:15,Tata Consumer Products acquires prominent regional spices brand to expand FMCG portfolio.
2026-02-19 13:25,Power Grid Corporation wins interstate transmission project worth Rs 5000 crore.
2026-02-20 10:50,Dr Reddys US facility clears FDA inspection with zero observations.
2026-02-20 14:10,Vedanta officially announces massive dividend of Rs 50 per share.
2026-02-23 09:30,HDFC Life reports solid 18% growth in Value of New Business margins.
2026-02-23 11:45,Lupin signs licensing pact to market cardiovascular drug in Europe.
2026-02-24 10:15,Adani Green operationalizes 500 MW solar plant in Khavda renewable energy park.
2026-02-24 15:00,Nestle India faces margin pressure as cocoa and coffee prices hit record highs globally.
2026-02-25 09:20,BHEL secures massive thermal power equipment order from NTPC.
2026-02-25 13:40,Titan Company reports sudden slowdown in gold jewelry demand due to high domestic prices.
2026-02-26 11:10,Tata Motors announces spin-off of its commercial vehicle business into a separate listed entity.
2026-02-26 14:30,Bharti Airtel signs definitive agreement to acquire spectrum from Vodafone Idea in key circles.
2026-02-27 09:45,BPCL announces special dividend and aggressive push into green hydrogen infrastructure.
2026-02-27 15:15,Shree Cement reports significant volume growth taking market share from regional peers.
2026-03-02 10:05,Reliance Retail launches aggressively priced fast-fashion brand to take on Zudio and Westside.
2026-03-02 14:20,ICICI Prudential reports sharp drop in ULIP sales amid market volatility.
2026-03-03 09:30,Infosys wins $1 billion mega-deal from global retail giant for AI transformation.
2026-03-03 13:10,Grasim Industries successfully commissions its much-awaited decorative paints plants.
2026-03-04 11:45,SBI Life Insurance gross written premium rises 22% YoY beating market expectations.
2026-03-04 15:30,Ashok Leyland wins major order for 1500 electric buses from state transport undertaking.
2026-03-05 09:15,Zomato announces acquisition of major ticketing platform to bolster its Going Out segment.
2026-03-05 14:00,JSW Energy signs MoU for massive 5GW pumped hydro storage project in Maharashtra.
2026-03-06 10:30,Hindustan Aeronautics (HAL) signs contract for advanced light helicopters with foreign navy.
2026-03-06 13:45,Apollo Tyres margins hit as natural rubber prices spike to multi-year highs.
2026-03-09 09:20,HDFC Bank CASA ratio improves sequentially relieving major investor concerns.
2026-03-09 15:10,Coal India announces 10% price hike across non-coking coal categories.
2026-03-10 11:15,Tata Steel successfully turns around its European operations posting surprise quarterly profit.
2026-03-10 14:30,Siemens India wins massive electrification contract for modernizing railway infrastructure.
2026-03-11 09:45,Cipla promoters looking to sell significant block of shares triggering negative sentiment.
2026-03-11 13:20,Adani Enterprises coal trading volumes surge amid high global demand.
2026-03-12 10:05,Mahindra & Mahindra tractor sales show sharp recovery due to better-than-expected monsoon forecast.
2026-03-12 15:00,Dixon Technologies wins PLI scheme approval for manufacturing high-end laptops.
2026-03-13 09:30,Voltas reports massive market share gain in room AC segment ahead of crucial summer season.
2026-03-13 14:10,Eicher Motors announces joint venture for manufacturing electric commercial vehicles.
2026-03-16 11:20,Trent (Westside) reports staggering 45% YoY revenue growth smashing all estimates.
2026-03-16 13:45,Reliance Jio announces highly anticipated IPO date causing massive rally in RIL stock.
